Date,Category,Payment Mode,Description,Amount Paid,Cashback
2024-07-13,Travel,Cash,Expense for travel tickets and accommodation.,2833.78,0.0
2024-07-03,Subscriptions,Cash,Online streaming and magazine subscriptions.,2533.95,0.0
2024-07-09,Gifts,Cash,Purchased gifts for friends and family.,3286.57,0.0
2024-07-06,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",4828.0,0.0
2024-07-26,Groceries,Debit Card,Purchased groceries and household items.,4180.79,0.0
2024-07-16,Gifts,Debit Card,Purchased gifts for friends and family.,2218.0,0.0
2024-07-04,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",2316.97,0.0
2024-07-17,Subscriptions,Cash,Online streaming and magazine subscriptions.,2703.64,0.0
2024-07-06,Transportation,Debit Card,Daily commute and fuel expenses.,978.82,0.0
2024-07-10,Groceries,Debit Card,Purchased groceries and household items.,475.61,0.0
2024-07-17,Travel,UPI,Expense for travel tickets and accommodation.,4938.66,18.85
2024-07-16,Subscriptions,UPI,Online streaming and magazine subscriptions.,3928.49,12.63
2024-07-24,Groceries,Cash,Purchased groceries and household items.,3671.13,0.0
2024-07-02,Groceries,Cash,Purchased groceries and household items.,1307.33,0.0
2024-07-08,Gifts,UPI,Purchased gifts for friends and family.,3690.5,4.41
2024-07-16,Gifts,Cash,Purchased gifts for friends and family.,1179.08,0.0
2024-07-26,Travel,UPI,Expense for travel tickets and accommodation.,3747.95,12.45
2024-07-20,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",4210.8,0.0
2024-07-13,Entertainment,Cash,"Movies, concerts, and recreational activities.",1858.63,0.0
2024-07-11,Groceries,Debit Card,Purchased groceries and household items.,1715.56,0.0
2024-07-09,Groceries,Cash,Purchased groceries and household items.,1117.52,0.0
2024-07-26,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,4261.44,0.0
2024-07-02,Gifts,Cash,Purchased gifts for friends and family.,3683.32,0.0
2024-07-12,Subscriptions,UPI,Online streaming and magazine subscriptions.,3540.65,15.35
2024-07-18,Groceries,Credit Card,Purchased groceries and household items.,3821.16,0.0
2024-07-08,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,4979.2,0.0
2024-07-05,Travel,UPI,Expense for travel tickets and accommodation.,4030.13,15.54
2024-07-26,Transportation,UPI,Daily commute and fuel expenses.,2377.71,4.63
2024-07-25,Gifts,Credit Card,Purchased gifts for friends and family.,710.32,0.0
2024-08-05,Transportation,Debit Card,Daily commute and fuel expenses.,4824.04,0.0
2024-08-13,Travel,Debit Card,Expense for travel tickets and accommodation.,1633.56,0.0
2024-08-09,Groceries,Cash,Purchased groceries and household items.,460.82,0.0
2024-08-08,Gifts,UPI,Purchased gifts for friends and family.,2400.44,5.94
2024-08-03,Transportation,Cash,Daily commute and fuel expenses.,4591.46,0.0
2024-08-23,Gifts,Cash,Purchased gifts for friends and family.,2616.33,0.0
2024-08-24,Gas Bill,UPI,Monthly gas bill payment.,204.83,11.62
2024-08-24,Gifts,Debit Card,Purchased gifts for friends and family.,1911.07,0.0
2024-08-21,Groceries,Credit Card,Purchased groceries and household items.,3174.95,0.0
2024-08-10,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,4890.74,0.0
2024-08-12,Gifts,Credit Card,Purchased gifts for friends and family.,3763.38,0.0
2024-08-05,Entertainment,UPI,"Movies, concerts, and recreational activities.",3912.24,10.45
2024-08-05,Travel,Debit Card,Expense for travel tickets and accommodation.,251.81,0.0
2024-08-24,Transportation,UPI,Daily commute and fuel expenses.,2546.47,1.69
2024-08-12,Travel,Credit Card,Expense for travel tickets and accommodation.,2515.9,0.0
2024-08-14,Gifts,UPI,Purchased gifts for friends and family.,2306.77,16.88
2024-08-14,Gifts,Debit Card,Purchased gifts for friends and family.,1664.77,0.0
2024-08-05,Travel,Cash,Expense for travel tickets and accommodation.,4706.3,0.0
2024-08-01,Travel,Cash,Expense for travel tickets and accommodation.,2083.8,0.0
2024-08-07,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",761.34,0.0
2024-08-26,Groceries,UPI,Purchased groceries and household items.,3800.33,9.53
2024-08-19,Groceries,Debit Card,Purchased groceries and household items.,134.74,0.0
2024-08-01,Groceries,Cash,Purchased groceries and household items.,640.38,0.0
2024-08-11,Travel,Credit Card,Expense for travel tickets and accommodation.,4446.75,0.0
2024-08-21,Transportation,UPI,Daily commute and fuel expenses.,1590.43,17.77
2024-08-20,Groceries,Cash,Purchased groceries and household items.,4844.44,0.0
2024-08-21,Travel,UPI,Expense for travel tickets and accommodation.,3045.14,9.27
2024-08-06,Groceries,UPI,Purchased groceries and household items.,4524.88,10.97
2024-08-08,Entertainment,Cash,"Movies, concerts, and recreational activities.",1922.07,0.0
2024-08-16,Groceries,Debit Card,Purchased groceries and household items.,1348.28,0.0
2024-08-27,Subscriptions,Cash,Online streaming and magazine subscriptions.,4428.1,0.0
2024-08-11,Groceries,Credit Card,Purchased groceries and household items.,3822.42,0.0
2024-08-12,Entertainment,UPI,"Movies, concerts, and recreational activities.",139.82,11.19
2024-08-12,Groceries,Debit Card,Purchased groceries and household items.,3581.79,0.0
2024-08-03,Gifts,Credit Card,Purchased gifts for friends and family.,4323.22,0.0
2024-08-06,Travel,Cash,Expense for travel tickets and accommodation.,3313.96,0.0
2024-08-14,Entertainment,UPI,"Movies, concerts, and recreational activities.",4437.71,14.61
2024-08-21,Entertainment,UPI,"Movies, concerts, and recreational activities.",1185.55,12.39
2024-08-07,Entertainment,UPI,"Movies, concerts, and recreational activities.",1751.93,1.42
2024-08-09,Travel,Debit Card,Expense for travel tickets and accommodation.,2148.6,0.0
2024-08-20,Travel,UPI,Expense for travel tickets and accommodation.,630.43,14.64
2024-08-27,Travel,Debit Card,Expense for travel tickets and accommodation.,857.77,0.0
2024-08-04,Entertainment,UPI,"Movies, concerts, and recreational activities.",3739.34,8.87
2024-08-25,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,572.76,0.0
2024-08-01,Travel,Credit Card,Expense for travel tickets and accommodation.,3927.74,0.0
2024-08-26,Gifts,Credit Card,Purchased gifts for friends and family.,1714.5,0.0
2024-08-19,Groceries,Debit Card,Purchased groceries and household items.,3713.22,0.0
2024-08-20,Subscriptions,UPI,Online streaming and magazine subscriptions.,2993.33,5.07
2024-08-05,Travel,UPI,Expense for travel tickets and accommodation.,908.89,12.71
2024-08-16,Travel,Cash,Expense for travel tickets and accommodation.,2902.16,0.0
2024-08-05,Transportation,UPI,Daily commute and fuel expenses.,4920.09,13.47
2024-08-01,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",3323.07,0.0
2024-08-21,Groceries,Cash,Purchased groceries and household items.,4844.18,0.0
2024-08-22,Groceries,Cash,Purchased groceries and household items.,1810.91,0.0
2024-08-25,Groceries,Credit Card,Purchased groceries and household items.,4119.41,0.0
2024-08-09,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,959.75,0.0
2024-08-06,Subscriptions,Cash,Online streaming and magazine subscriptions.,680.2,0.0
2024-08-22,Transportation,Cash,Daily commute and fuel expenses.,3798.59,0.0
2024-08-10,Gifts,Cash,Purchased gifts for friends and family.,4678.81,0.0
2024-08-13,Entertainment,UPI,"Movies, concerts, and recreational activities.",4723.3,13.1
2024-08-10,Travel,UPI,Expense for travel tickets and accommodation.,801.33,7.09
2024-08-02,Transportation,UPI,Daily commute and fuel expenses.,4560.67,7.18
2024-08-11,Groceries,Credit Card,Purchased groceries and household items.,1278.12,0.0
2024-08-20,Travel,Credit Card,Expense for travel tickets and accommodation.,2348.45,0.0
2024-08-22,Gifts,Credit Card,Purchased gifts for friends and family.,2835.68,0.0
2024-08-02,Groceries,Cash,Purchased groceries and household items.,3763.33,0.0
2024-08-25,Subscriptions,Cash,Online streaming and magazine subscriptions.,3750.91,0.0
2024-08-21,Entertainment,UPI,"Movies, concerts, and recreational activities.",1381.52,9.73
2024-08-14,Gifts,Cash,Purchased gifts for friends and family.,4743.1,0.0
2024-08-10,Travel,Debit Card,Expense for travel tickets and accommodation.,4737.67,0.0
2024-08-27,Gifts,Credit Card,Purchased gifts for friends and family.,1641.02,0.0
2024-08-10,Gifts,Debit Card,Purchased gifts for friends and family.,482.08,0.0
2024-08-22,Groceries,Cash,Purchased groceries and household items.,2345.4,0.0
2024-08-03,Travel,UPI,Expense for travel tickets and accommodation.,2881.78,6.15
2024-08-03,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,3692.68,0.0
2024-08-26,Subscriptions,Cash,Online streaming and magazine subscriptions.,131.86,0.0
2024-08-20,Groceries,UPI,Purchased groceries and household items.,3286.66,5.6
2024-08-27,Gifts,Cash,Purchased gifts for friends and family.,2011.56,0.0
2024-08-10,Gifts,Cash,Purchased gifts for friends and family.,3749.17,0.0
2024-08-15,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,1911.01,0.0
2024-08-23,Entertainment,UPI,"Movies, concerts, and recreational activities.",313.41,2.82
2024-08-17,Gifts,UPI,Purchased gifts for friends and family.,3874.38,6.54
2024-08-15,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,4984.42,0.0
2024-08-14,Subscriptions,UPI,Online streaming and magazine subscriptions.,4909.13,14.1
2024-08-06,Entertainment,Cash,"Movies, concerts, and recreational activities.",2207.94,0.0
2024-08-24,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",2051.38,0.0
2024-08-26,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,3648.63,0.0
2024-08-19,Gifts,Debit Card,Purchased gifts for friends and family.,4813.02,0.0
2024-08-13,Travel,Credit Card,Expense for travel tickets and accommodation.,494.19,0.0
2024-08-26,Groceries,UPI,Purchased groceries and household items.,3870.01,19.2
2024-08-02,Subscriptions,UPI,Online streaming and magazine subscriptions.,255.67,2.24
2024-08-06,Groceries,UPI,Purchased groceries and household items.,566.79,4.65
2024-08-22,Subscriptions,UPI,Online streaming and magazine subscriptions.,440.85,19.17
2024-08-13,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,1162.49,0.0
2024-08-07,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",2769.11,0.0
2024-08-05,Gifts,Credit Card,Purchased gifts for friends and family.,3550.37,0.0
2024-08-21,Groceries,Cash,Purchased groceries and household items.,2507.52,0.0
2024-08-11,Transportation,UPI,Daily commute and fuel expenses.,3055.81,5.16
2024-08-24,Groceries,Cash,Purchased groceries and household items.,4757.46,0.0
2024-08-02,Gifts,UPI,Purchased gifts for friends and family.,4080.14,10.57
2024-08-01,Gifts,Credit Card,Purchased gifts for friends and family.,1904.71,0.0
2024-08-26,Entertainment,UPI,"Movies, concerts, and recreational activities.",1023.45,9.83
2024-08-07,Groceries,Debit Card,Purchased groceries and household items.,2237.6,0.0
2024-08-14,Transportation,UPI,Daily commute and fuel expenses.,1885.3,8.11
2024-08-17,Transportation,Debit Card,Daily commute and fuel expenses.,1699.94,0.0
2024-08-21,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,4543.46,0.0
2024-08-16,Travel,Debit Card,Expense for travel tickets and accommodation.,4897.61,0.0
2024-08-17,Subscriptions,UPI,Online streaming and magazine subscriptions.,877.06,10.19
2024-08-18,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,2229.52,0.0
2024-08-03,Transportation,Debit Card,Daily commute and fuel expenses.,3364.71,0.0
2024-08-13,Transportation,Cash,Daily commute and fuel expenses.,1560.21,0.0
2024-08-01,Subscriptions,UPI,Online streaming and magazine subscriptions.,1825.88,3.97
2024-08-13,Gifts,Credit Card,Purchased gifts for friends and family.,1444.4,0.0
2024-08-13,Gifts,Credit Card,Purchased gifts for friends and family.,3056.77,0.0
2024-08-09,Gifts,UPI,Purchased gifts for friends and family.,1633.02,14.86
2024-08-20,Groceries,Debit Card,Purchased groceries and household items.,1098.02,0.0
2024-08-10,Entertainment,Cash,"Movies, concerts, and recreational activities.",1045.96,0.0
2024-08-16,Gifts,UPI,Purchased gifts for friends and family.,1280.27,7.91
2024-08-04,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,717.61,0.0
2024-08-26,Groceries,Cash,Purchased groceries and household items.,4869.54,0.0
2024-08-09,Gifts,Credit Card,Purchased gifts for friends and family.,3288.73,0.0
2024-08-24,Transportation,Debit Card,Daily commute and fuel expenses.,3773.19,0.0
2024-08-27,Subscriptions,UPI,Online streaming and magazine subscriptions.,751.12,9.41
2024-08-06,Travel,Debit Card,Expense for travel tickets and accommodation.,2987.17,0.0
2024-08-11,Groceries,Debit Card,Purchased groceries and household items.,2336.98,0.0
2024-08-18,Travel,Credit Card,Expense for travel tickets and accommodation.,376.95,0.0
2024-08-03,Transportation,Debit Card,Daily commute and fuel expenses.,3386.89,0.0
2024-08-13,Travel,UPI,Expense for travel tickets and accommodation.,3978.98,2.17
2024-08-07,Travel,Credit Card,Expense for travel tickets and accommodation.,4394.88,0.0
2024-08-19,Transportation,Cash,Daily commute and fuel expenses.,1978.98,0.0
2024-08-24,Travel,Debit Card,Expense for travel tickets and accommodation.,240.42,0.0
2024-08-26,Transportation,UPI,Daily commute and fuel expenses.,3449.1,10.17
2024-08-14,Transportation,UPI,Daily commute and fuel expenses.,1954.24,16.48
2024-08-21,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,2366.32,0.0
2024-08-21,Travel,UPI,Expense for travel tickets and accommodation.,3761.24,15.15
2024-08-19,Travel,UPI,Expense for travel tickets and accommodation.,3473.34,12.35
2024-08-18,Transportation,Cash,Daily commute and fuel expenses.,122.61,0.0
2024-08-24,Groceries,Cash,Purchased groceries and household items.,3609.44,0.0
2024-08-26,Transportation,UPI,Daily commute and fuel expenses.,4891.72,17.0
2024-08-23,Entertainment,Cash,"Movies, concerts, and recreational activities.",3399.75,0.0
2024-08-12,Transportation,Credit Card,Daily commute and fuel expenses.,2023.75,0.0
2024-08-14,Transportation,Debit Card,Daily commute and fuel expenses.,3152.02,0.0
2024-08-23,Gifts,Debit Card,Purchased gifts for friends and family.,3567.68,0.0
2024-08-24,Groceries,Credit Card,Purchased groceries and household items.,1694.19,0.0
2024-08-12,Groceries,Credit Card,Purchased groceries and household items.,2067.92,0.0
2024-08-20,Groceries,Credit Card,Purchased groceries and household items.,550.45,0.0
2024-08-02,Travel,Cash,Expense for travel tickets and accommodation.,761.47,0.0
2024-08-07,Groceries,Debit Card,Purchased groceries and household items.,860.89,0.0
2024-08-06,Transportation,Debit Card,Daily commute and fuel expenses.,3345.52,0.0
2024-08-23,Subscriptions,Cash,Online streaming and magazine subscriptions.,3516.81,0.0
2024-09-14,Gifts,UPI,Purchased gifts for friends and family.,2225.16,1.56
2024-09-06,Subscriptions,UPI,Online streaming and magazine subscriptions.,2620.65,1.17
2024-09-22,Transportation,Cash,Daily commute and fuel expenses.,4471.98,0.0
2024-09-01,Transportation,Credit Card,Daily commute and fuel expenses.,188.8,0.0
2024-09-14,Travel,UPI,Expense for travel tickets and accommodation.,1688.67,17.39
2024-09-26,Groceries,UPI,Purchased groceries and household items.,404.58,4.32
2024-09-01,Gas Bill,Debit Card,Monthly gas bill payment.,4672.35,0.0
2024-09-11,Groceries,UPI,Purchased groceries and household items.,1465.14,10.0
2024-09-03,Groceries,Credit Card,Purchased groceries and household items.,4864.38,0.0
2024-09-15,Gifts,Debit Card,Purchased gifts for friends and family.,4583.95,0.0
2024-09-05,Transportation,Debit Card,Daily commute and fuel expenses.,4457.04,0.0
2024-09-01,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,2093.26,0.0
2024-09-26,Gifts,Debit Card,Purchased gifts for friends and family.,1036.38,0.0
2024-09-02,Transportation,UPI,Daily commute and fuel expenses.,921.95,7.12
2024-09-03,Groceries,Debit Card,Purchased groceries and household items.,4519.42,0.0
2024-09-14,Gifts,UPI,Purchased gifts for friends and family.,4354.28,6.39
2024-09-02,Entertainment,UPI,"Movies, concerts, and recreational activities.",4172.34,2.98
2024-09-27,Subscriptions,Cash,Online streaming and magazine subscriptions.,1178.39,0.0
2024-09-05,Gifts,Debit Card,Purchased gifts for friends and family.,2296.38,0.0
2024-09-12,Gifts,Credit Card,Purchased gifts for friends and family.,977.35,0.0
2024-09-03,Travel,Cash,Expense for travel tickets and accommodation.,230.44,0.0
2024-09-18,Transportation,Credit Card,Daily commute and fuel expenses.,4047.71,0.0
2024-09-21,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",2484.72,0.0
2024-09-02,Subscriptions,Cash,Online streaming and magazine subscriptions.,3928.77,0.0
2024-09-18,Groceries,Cash,Purchased groceries and household items.,1477.72,0.0
2024-09-27,Transportation,UPI,Daily commute and fuel expenses.,1369.77,6.27
2024-09-13,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",4157.84,0.0
2024-09-07,Travel,UPI,Expense for travel tickets and accommodation.,3339.26,2.42
2024-09-24,Travel,UPI,Expense for travel tickets and accommodation.,2912.58,3.97
2024-09-19,Gifts,Debit Card,Purchased gifts for friends and family.,1875.86,0.0
2024-09-01,Gifts,Cash,Purchased gifts for friends and family.,3380.37,0.0
2024-09-01,Transportation,Debit Card,Daily commute and fuel expenses.,1455.63,0.0
2024-09-01,Entertainment,UPI,"Movies, concerts, and recreational activities.",3263.1,15.58
2024-09-13,Transportation,Cash,Daily commute and fuel expenses.,1557.32,0.0
2024-09-18,Entertainment,Cash,"Movies, concerts, and recreational activities.",2606.81,0.0
2024-09-20,Groceries,UPI,Purchased groceries and household items.,2582.88,14.02
2024-09-08,Entertainment,UPI,"Movies, concerts, and recreational activities.",383.47,12.13
2024-09-11,Groceries,Cash,Purchased groceries and household items.,4242.6,0.0
2024-09-23,Transportation,UPI,Daily commute and fuel expenses.,2457.8,10.14
2024-09-02,Travel,UPI,Expense for travel tickets and accommodation.,3581.67,14.14
2024-09-26,Transportation,Credit Card,Daily commute and fuel expenses.,1921.68,0.0
2024-09-15,Transportation,Cash,Daily commute and fuel expenses.,3715.92,0.0
2024-09-08,Transportation,UPI,Daily commute and fuel expenses.,4743.12,19.51
2024-09-18,Subscriptions,Cash,Online streaming and magazine subscriptions.,4940.85,0.0
2024-09-23,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,2782.55,0.0
2024-09-04,Travel,Debit Card,Expense for travel tickets and accommodation.,2286.22,0.0
2024-09-15,Gifts,Cash,Purchased gifts for friends and family.,555.35,0.0
2024-09-27,Groceries,Credit Card,Purchased groceries and household items.,512.05,0.0
2024-09-02,Entertainment,Cash,"Movies, concerts, and recreational activities.",2039.11,0.0
2024-09-22,Gifts,Credit Card,Purchased gifts for friends and family.,3565.88,0.0
2024-09-05,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",1232.34,0.0
2024-09-09,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",1182.36,0.0
2024-09-20,Travel,Credit Card,Expense for travel tickets and accommodation.,2928.82,0.0
2024-09-20,Gifts,UPI,Purchased gifts for friends and family.,1576.19,11.05
2024-09-09,Groceries,Debit Card,Purchased groceries and household items.,593.06,0.0
2024-09-06,Transportation,Cash,Daily commute and fuel expenses.,1895.33,0.0
2024-09-03,Groceries,Credit Card,Purchased groceries and household items.,3959.23,0.0
2024-09-03,Entertainment,UPI,"Movies, concerts, and recreational activities.",4513.23,11.71
2024-09-14,Groceries,UPI,Purchased groceries and household items.,477.99,9.94
2024-09-12,Gifts,Cash,Purchased gifts for friends and family.,2527.9,0.0
2024-09-25,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",3603.28,0.0
2024-09-21,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,2775.76,0.0
2024-09-12,Entertainment,UPI,"Movies, concerts, and recreational activities.",485.97,12.19
2024-09-27,Gifts,Debit Card,Purchased gifts for friends and family.,2933.8,0.0
2024-09-13,Entertainment,Cash,"Movies, concerts, and recreational activities.",3337.73,0.0
2024-09-04,Entertainment,Cash,"Movies, concerts, and recreational activities.",4387.43,0.0
2024-09-09,Travel,Cash,Expense for travel tickets and accommodation.,3435.9,0.0
2024-09-01,Groceries,Cash,Purchased groceries and household items.,3257.43,0.0
2024-09-18,Groceries,Credit Card,Purchased groceries and household items.,2523.08,0.0
2024-09-12,Gifts,Credit Card,Purchased gifts for friends and family.,1045.99,0.0
2024-09-05,Transportation,Cash,Daily commute and fuel expenses.,2263.23,0.0
2024-09-04,Transportation,Debit Card,Daily commute and fuel expenses.,3388.96,0.0
2024-09-06,Gifts,UPI,Purchased gifts for friends and family.,1868.17,16.93
2024-09-21,Travel,Credit Card,Expense for travel tickets and accommodation.,291.1,0.0
2024-09-18,Groceries,Debit Card,Purchased groceries and household items.,1561.79,0.0
2024-09-09,Transportation,UPI,Daily commute and fuel expenses.,1610.88,3.84
2024-09-15,Travel,Cash,Expense for travel tickets and accommodation.,1623.07,0.0
2024-09-02,Transportation,Debit Card,Daily commute and fuel expenses.,2990.75,0.0
2024-09-27,Transportation,UPI,Daily commute and fuel expenses.,2920.7,2.16
2024-09-27,Groceries,Cash,Purchased groceries and household items.,3018.21,0.0
2024-09-16,Gifts,Cash,Purchased gifts for friends and family.,3340.42,0.0
2024-09-27,Groceries,Debit Card,Purchased groceries and household items.,2996.32,0.0
2024-09-23,Gifts,Cash,Purchased gifts for friends and family.,2248.46,0.0
2024-09-12,Transportation,UPI,Daily commute and fuel expenses.,3822.86,10.64
2024-09-27,Travel,Debit Card,Expense for travel tickets and accommodation.,181.16,0.0
2024-09-16,Entertainment,UPI,"Movies, concerts, and recreational activities.",3075.88,12.08
2024-09-04,Groceries,Debit Card,Purchased groceries and household items.,4265.67,0.0
2024-09-24,Travel,UPI,Expense for travel tickets and accommodation.,3997.8,1.86
2024-09-25,Travel,Debit Card,Expense for travel tickets and accommodation.,2041.18,0.0
2024-09-09,Travel,Cash,Expense for travel tickets and accommodation.,1214.52,0.0
2024-09-16,Subscriptions,Cash,Online streaming and magazine subscriptions.,2224.45,0.0
2024-09-09,Travel,Debit Card,Expense for travel tickets and accommodation.,4427.68,0.0
2024-09-26,Entertainment,Cash,"Movies, concerts, and recreational activities.",4911.82,0.0
2024-09-13,Gifts,Cash,Purchased gifts for friends and family.,3940.3,0.0
2024-09-21,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",240.42,0.0
2024-09-23,Groceries,Debit Card,Purchased groceries and household items.,1059.27,0.0
2024-09-26,Entertainment,UPI,"Movies, concerts, and recreational activities.",4158.18,1.37
2024-09-22,Gifts,Debit Card,Purchased gifts for friends and family.,1689.44,0.0
2024-09-21,Travel,Credit Card,Expense for travel tickets and accommodation.,1459.66,0.0
2024-09-26,Transportation,Cash,Daily commute and fuel expenses.,3977.95,0.0
2024-09-19,Subscriptions,UPI,Online streaming and magazine subscriptions.,4376.24,1.99
2024-09-08,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,3418.45,0.0
2024-09-12,Groceries,Credit Card,Purchased groceries and household items.,4758.7,0.0
2024-09-20,Transportation,Cash,Daily commute and fuel expenses.,2839.0,0.0
2024-09-11,Groceries,Debit Card,Purchased groceries and household items.,2857.87,0.0
2024-09-12,Entertainment,Cash,"Movies, concerts, and recreational activities.",1238.82,0.0
2024-09-06,Entertainment,Cash,"Movies, concerts, and recreational activities.",3862.54,0.0
2024-09-27,Gifts,Debit Card,Purchased gifts for friends and family.,193.77,0.0
2024-09-06,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,3181.73,0.0
2024-09-20,Groceries,Credit Card,Purchased groceries and household items.,362.82,0.0
2024-09-11,Groceries,Cash,Purchased groceries and household items.,3272.14,0.0
2024-09-06,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",4844.53,0.0
2024-09-05,Gifts,Cash,Purchased gifts for friends and family.,3436.2,0.0
2024-09-20,Gifts,Cash,Purchased gifts for friends and family.,3511.54,0.0
2024-09-13,Transportation,Cash,Daily commute and fuel expenses.,2207.34,0.0
2024-09-07,Subscriptions,UPI,Online streaming and magazine subscriptions.,1464.63,11.01
2024-09-19,Transportation,Credit Card,Daily commute and fuel expenses.,4909.54,0.0
2024-09-17,Subscriptions,UPI,Online streaming and magazine subscriptions.,4661.86,3.83
2024-09-19,Travel,Cash,Expense for travel tickets and accommodation.,4536.44,0.0
2024-09-16,Gifts,Cash,Purchased gifts for friends and family.,4547.42,0.0
2024-09-12,Gifts,Credit Card,Purchased gifts for friends and family.,1090.71,0.0
2024-09-16,Subscriptions,Cash,Online streaming and magazine subscriptions.,3863.74,0.0
2024-09-16,Subscriptions,Cash,Online streaming and magazine subscriptions.,875.25,0.0
2024-09-19,Gifts,Cash,Purchased gifts for friends and family.,1192.52,0.0
2024-09-24,Subscriptions,UPI,Online streaming and magazine subscriptions.,1218.09,1.92
2024-09-20,Travel,Debit Card,Expense for travel tickets and accommodation.,4908.19,0.0
2024-09-20,Entertainment,Cash,"Movies, concerts, and recreational activities.",2241.29,0.0
2024-09-12,Gifts,Debit Card,Purchased gifts for friends and family.,1397.94,0.0
2024-09-16,Groceries,UPI,Purchased groceries and household items.,2608.71,12.58
2024-09-04,Gifts,Debit Card,Purchased gifts for friends and family.,2925.54,0.0
2024-09-15,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",4442.88,0.0
2024-09-22,Groceries,Cash,Purchased groceries and household items.,4033.58,0.0
2024-09-23,Subscriptions,UPI,Online streaming and magazine subscriptions.,1829.06,6.12
2024-09-26,Transportation,Debit Card,Daily commute and fuel expenses.,3522.39,0.0
2024-09-23,Groceries,Cash,Purchased groceries and household items.,3534.72,0.0
2024-09-01,Gifts,UPI,Purchased gifts for friends and family.,1530.75,8.22
2024-09-03,Transportation,Debit Card,Daily commute and fuel expenses.,4849.28,0.0
2024-09-24,Groceries,Credit Card,Purchased groceries and household items.,561.4,0.0
2024-09-12,Entertainment,UPI,"Movies, concerts, and recreational activities.",2209.29,9.25
2024-09-07,Travel,Credit Card,Expense for travel tickets and accommodation.,4630.16,0.0
2024-09-02,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,4254.33,0.0
2024-09-01,Transportation,Debit Card,Daily commute and fuel expenses.,4654.81,0.0
2024-09-01,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",1955.96,0.0
2024-09-08,Entertainment,Cash,"Movies, concerts, and recreational activities.",4849.47,0.0
2024-09-27,Entertainment,Cash,"Movies, concerts, and recreational activities.",846.0,0.0
2024-09-15,Travel,Debit Card,Expense for travel tickets and accommodation.,3282.32,0.0
2024-09-02,Travel,Debit Card,Expense for travel tickets and accommodation.,4199.51,0.0
2024-09-10,Travel,Debit Card,Expense for travel tickets and accommodation.,1394.7,0.0
2024-09-17,Transportation,Credit Card,Daily commute and fuel expenses.,3793.14,0.0
2024-09-11,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,2431.15,0.0
2024-10-04,Gas Bill,Credit Card,Monthly gas bill payment.,498.0,0.0
2024-10-03,Transportation,Cash,Daily commute and fuel expenses.,1113.57,0.0
2024-10-19,Travel,Credit Card,Expense for travel tickets and accommodation.,3694.62,0.0
2024-10-27,Groceries,Debit Card,Purchased groceries and household items.,589.5,0.0
2024-10-11,Travel,Debit Card,Expense for travel tickets and accommodation.,1878.8,0.0
2024-10-26,Transportation,Debit Card,Daily commute and fuel expenses.,4696.71,0.0
2024-10-01,Transportation,UPI,Daily commute and fuel expenses.,2693.79,14.68
2024-10-22,Transportation,UPI,Daily commute and fuel expenses.,401.72,14.07
2024-10-12,Travel,UPI,Expense for travel tickets and accommodation.,4834.57,12.83
2024-10-01,Entertainment,Cash,"Movies, concerts, and recreational activities.",506.96,0.0
2024-10-13,Groceries,Debit Card,Purchased groceries and household items.,784.43,0.0
2024-10-12,Subscriptions,Cash,Online streaming and magazine subscriptions.,4188.36,0.0
2024-10-27,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",1572.0,0.0
2024-10-16,Groceries,UPI,Purchased groceries and household items.,1942.54,18.87
